,maxtempC,mintempC,uvIndex,HeatIndexC,WindGustKmph,humidity,tempC,windspeedKmph,Brent_Prices,Henry_Hub_Price,WTI_Prices,elec_price
2021-08-10 14:00:00,24,14,5,25,16,46,23,13,71.75915797385478,4.076508342257989,69.04094461012905,74.07
2021-08-10 15:00:00,24,14,5,25,18,45,24,14,71.7909486131348,4.074770672114988,69.07650053908489,75.49
2021-08-10 16:00:00,24,14,5,24,21,52,23,15,71.82080448871137,4.073274521064698,69.10991193693653,80.35
2021-08-10 17:00:00,24,14,5,24,24,59,22,17,71.8487256005845,4.0720198891071195,69.14117880368404,89.51
2021-08-10 18:00:00,24,14,5,24,27,65,21,18,71.8747119487542,4.071006776242253,69.17030113932738,104.54
2021-08-10 19:00:00,24,14,5,22,25,72,20,17,71.89876353322043,4.070235182470098,69.19727894386656,116.29
2021-08-10 20:00:00,24,14,5,20,23,78,18,15,71.92088035398322,4.069705107790655,69.22211221730156,137.06
2021-08-10 21:00:00,24,14,5,18,21,85,17,14,71.94106241104258,4.069416552203924,69.24480095963241,120.0
2021-08-10 22:00:00,24,14,5,17,20,87,17,12,71.95930970439849,4.069369515709904,69.2653451708591,111.6
2021-08-10 23:00:00,24,14,5,16,18,90,16,11,71.97562223405096,4.069563998308596,69.28374485098163,92.25
2021-08-11 00:00:00,24,15,5,15,17,93,15,9,71.99,4.07,69.3,91.07
2021-08-11 01:00:00,24,15,5,15,17,93,15,9,72.00244300224557,4.070677520784114,69.3141106179142,85.1
2021-08-11 02:00:00,24,15,5,15,18,93,15,9,72.01295124078771,4.071596560660941,69.32607670472423,83.93
2021-08-11 03:00:00,24,15,5,15,18,93,15,9,72.0215247156264,4.07275711963048,69.33589826043011,82.1
2021-08-11 04:00:00,24,15,5,15,16,90,15,9,72.02816342676165,4.07415919769273,69.3435752850318,82.32
2021-08-11 05:00:00,24,15,5,15,15,88,15,9,72.03286737419347,4.075802794847692,69.34910777852936,88.51
2021-08-11 06:00:00,24,15,5,16,13,85,16,9,72.03563655792183,4.077687911095365,69.35249574092275,107.95
2021-08-11 07:00:00,24,15,5,17,13,78,17,9,72.03647097794673,4.079814546435751,69.35373917221196,133.87
2021-08-11 08:00:00,24,15,5,18,13,71,18,10,72.03537063426822,4.082182700868847,69.35283807239702,121.61
2021-08-11 09:00:00,24,15,5,19,12,64,19,10,72.03233552688626,4.084792374394656,69.34979244147792,108.98
2021-08-11 10:00:00,24,15,5,21,13,59,20,11,72.02736565580085,4.087643567013176,69.34460227945465,92.97
2021-08-11 11:00:00,24,15,5,22,15,53,22,12,72.02046102101198,4.090736278724409,69.33726758632721,88.63
2021-08-11 12:00:00,24,15,5,23,16,48,23,14,72.0116216225197,4.094070509528351,69.32778836209562,84.6
2021-08-11 13:00:00,24,15,5,24,17,46,23,14,72.00109303482573,4.09727876103329,69.31667318839048,82.21
2021-08-11 14:00:00,24,15,5,24,18,44,23,15,71.9891208324319,4.099993534847507,69.3044306468424,80.29
2021-08-11 15:00:00,24,15,5,25,20,42,24,16,71.97570501533816,4.102214830971002,69.29106073745137,82.96
2021-08-11 16:00:00,24,15,5,24,20,46,23,15,71.96084558354457,4.103942649403777,69.27656346021742,88.05
2021-08-11 17:00:00,24,15,5,23,20,50,22,14,71.94454253705106,4.1051769901458295,69.2609388151405,104.47
2021-08-11 18:00:00,24,15,5,22,20,54,21,13,71.92679587585772,4.105917853197162,69.2441868022207,115.0
2021-08-11 19:00:00,24,15,5,21,17,59,20,11,71.90760559996446,4.106165238557771,69.2263074214579,128.46
2021-08-11 20:00:00,24,15,5,20,14,64,19,9,71.88697170937132,4.105919146227659,69.20730067285221,139.89
2021-08-11 21:00:00,24,15,5,18,12,69,18,7,71.86489420407833,4.105179576206827,69.18716655640357,125.01
2021-08-11 22:00:00,24,15,5,18,11,69,18,6,71.84137308408543,4.103946528495273,69.165905072112,117.0
2021-08-11 23:00:00,24,15,5,17,10,69,17,5,71.81640834939266,4.102220003092997,69.14351621997746,103.0
2021-08-12 00:00:00,27,16,6,17,9,68,17,5,71.79,4.1,69.12,96.67
2021-08-12 01:00:00,27,16,6,16,9,70,16,4,71.76214803590747,4.097286519216281,69.09535641217961,91.7
2021-08-12 02:00:00,27,16,6,16,8,71,16,4,71.73285245711506,4.094079560741841,69.06958545651628,90.05
2021-08-12 03:00:00,27,16,6,16,8,73,16,4,71.70211326362276,4.090379124576681,69.04268713301002,87.0
2021-08-12 04:00:00,27,16,6,16,8,71,16,4,71.66993045543057,4.086185210720798,69.01466144166079,84.64
2021-08-12 05:00:00,27,16,6,17,8,70,17,5,71.63630403253852,4.081497819174193,68.98550838246865,87.02
2021-08-12 06:00:00,27,16,6,17,8,69,17,5,71.60123399494658,4.076316949936868,68.95522795543357,106.92
2021-08-12 07:00:00,27,16,6,19,8,65,19,6,71.56472034265477,4.070642603008821,68.92382016055555,120.0
2021-08-12 08:00:00,27,16,6,21,8,60,20,6,71.52676307566306,4.064474778390053,68.89128499783459,120.77
2021-08-12 09:00:00,27,16,6,23,8,56,22,6,71.48736219397148,4.057813476080563,68.8576224672707,109.0
2021-08-12 10:00:00,27,16,6,24,8,52,23,6,71.44651769758,4.050658696080351,68.82283256886384,102.72
2021-08-12 11:00:00,27,16,6,25,8,48,24,6,71.40422958648865,4.043010438389418,68.78691530261408,98.06
2021-08-12 12:00:00,27,16,6,26,8,44,26,6,71.36049786069744,4.034868703007764,68.74987066852137,95.0
2021-08-12 13:00:00,27,16,6,26,8,42,26,7,71.31655088684096,4.026589902306557,68.7126889418103,91.94
2021-08-12 14:00:00,27,16,6,27,8,41,27,7,71.27361703155388,4.018530448656968,68.6763603977055,92.99
2021-08-12 15:00:00,27,16,6,27,9,39,27,8,71.23169629483621,4.010690342058995,68.64088503620688,94.95
2021-08-12 16:00:00,27,16,6,27,9,42,27,7,71.19078867668793,4.00306958251264,68.60626285731452,100.91
2021-08-12 17:00:00,27,16,6,27,9,46,26,7,71.15089417710905,3.9956681700179004,68.57249386102839,111.4
2021-08-12 18:00:00,27,16,6,26,9,49,26,6,71.11201279609958,3.988486104574779,68.5395780473485,126.77
2021-08-12 19:00:00,27,16,6,26,9,51,25,5,71.07414453365948,3.981523386183273,68.50751541627483,144.94
2021-08-12 20:00:00,27,16,6,25,8,54,24,5,71.0372893897888,3.974780014843385,68.47630596780739,143.96
2021-08-12 21:00:00,27,16,6,25,8,56,23,4,71.00144736448749,3.968255990555113,68.44594970194619,133.34
2021-08-12 22:00:00,27,16,6,24,7,59,22,4,70.9666184577556,3.9619513133184587,68.41644661869123,119.0
2021-08-12 23:00:00,27,16,6,23,7,62,22,3,70.93280266959312,3.9558659831334215,68.38779671804251,107.12
2021-08-13 00:00:00,30,20,7,22,6,65,21,3,70.9,3.95,68.36,94.87
